component,model,district,year,value
Drought,CHIRPS,Buffalo City,2016,-0.27
Drought,CHIRPS,Namakwa,2016,-0.21
Drought,CHIRPS,Chris Hani,2016,-0.16
Drought,CHIRPS,OR Tambo,2016,0.08
Drought,CHIRPS,Pixley ka Seme,2016,-0.04
Drought,CHIRPS,Joe Gqabi,2016,0.66
Drought,CHIRPS,Alfred Nzo,2016,0.67
Drought,CHIRPS,Ugu,2016,0.35
Drought,CHIRPS,Xhariep,2016,0.77
Drought,CHIRPS,Harry Gwala,2016,1.25
Drought,CHIRPS,eThekwini,2016,0.64
Drought,CHIRPS,uMgungundlovu,2016,2.31
Drought,CHIRPS,ZF Mgcawu,2016,-0.16
Drought,CHIRPS,iLembe,2016,1.74
Drought,CHIRPS,Mangaung,2016,1.08
Drought,CHIRPS,Thabo Mofutsanyane,2016,2.85
Drought,CHIRPS,uThukela,2016,2
Drought,CHIRPS,uMzinyathi,2016,2.37
Drought,CHIRPS,King Cetshwayo,2016,1.63
Drought,CHIRPS,Lejweleputswa,2016,1.55
Drought,CHIRPS,Frances Baard,2016,0.37
Drought,CHIRPS,Zululand,2016,2.4
Drought,CHIRPS,uMkhanyakude,2016,2.97
Drought,CHIRPS,Fezile Dabi,2016,1.24
Drought,CHIRPS,Amajuba,2016,2.94
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2016,0.57
Drought,CHIRPS,John Taolo Gaetsewe,2016,0.32
Drought,CHIRPS,Dr Kenneth Kaunda,2016,0.28
Drought,CHIRPS,Gert Sibande,2016,0.04
Drought,CHIRPS,Ngaka Modiri Molema,2016,0.73
Drought,CHIRPS,Sedibeng,2016,-0.19
Drought,CHIRPS,West Rand,2016,0.1
Drought,CHIRPS,Ekurhuleni,2016,-0.22
Drought,CHIRPS,City of Johannesburg,2016,-0.09
Drought,CHIRPS,Nkangala,2016,-0.17
Drought,CHIRPS,Bojanala,2016,0.35
Drought,CHIRPS,City of Tshwane,2016,0.02
Drought,CHIRPS,Ehlanzeni,2016,0.09
Drought,CHIRPS,Sekhukhune,2016,-0.16
Drought,CHIRPS,Waterberg,2016,-0.06
Drought,CHIRPS,Capricorn,2016,-0.13
Drought,CHIRPS,Mopani,2016,-0.1
Drought,CHIRPS,Vhembe,2016,0.01
Drought,CHIRPS,Overberg,2017,2.2
Drought,CHIRPS,Garden Route,2017,2.94
Drought,CHIRPS,City of Cape Town,2017,2.27
Drought,CHIRPS,Cacadu,2017,1.42
Drought,CHIRPS,Cape Winelands,2017,2.98
Drought,CHIRPS,Nelson Mandela Bay,2017,1.89
Drought,CHIRPS,West Coast,2017,2.5
Drought,CHIRPS,Central Karoo,2017,2.39
Drought,CHIRPS,Amathole,2017,0.21
Drought,CHIRPS,Buffalo City,2017,-0.08
Drought,CHIRPS,Namakwa,2017,2.65
Drought,CHIRPS,Chris Hani,2017,-0.04
Drought,CHIRPS,OR Tambo,2017,-0.25
Drought,CHIRPS,Pixley ka Seme,2017,0.58
Drought,CHIRPS,Joe Gqabi,2017,-0.13
Drought,CHIRPS,Alfred Nzo,2017,-0.26
Drought,CHIRPS,Ugu,2017,-0.26
Drought,CHIRPS,Xhariep,2017,-0.09
Drought,CHIRPS,Harry Gwala,2017,-0.23
Drought,CHIRPS,eThekwini,2017,-0.24
Drought,CHIRPS,uMgungundlovu,2017,-0.05
Drought,CHIRPS,ZF Mgcawu,2017,-0.12
Drought,CHIRPS,iLembe,2017,-0.26
Drought,CHIRPS,Mangaung,2017,-0.14
Drought,CHIRPS,Thabo Mofutsanyane,2017,-0.21
Drought,CHIRPS,uThukela,2017,-0.14
Drought,CHIRPS,uMzinyathi,2017,-0.13
Drought,CHIRPS,King Cetshwayo,2017,-0.25
Drought,CHIRPS,Lejweleputswa,2017,-0.24
Drought,CHIRPS,Frances Baard,2017,-0.24
Drought,CHIRPS,Zululand,2017,-0.26
Drought,CHIRPS,uMkhanyakude,2017,-0.25
Drought,CHIRPS,Fezile Dabi,2017,-0.26
Drought,CHIRPS,Amajuba,2017,-0.25
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2017,-0.24
Drought,CHIRPS,John Taolo Gaetsewe,2017,-0.23
Drought,CHIRPS,Dr Kenneth Kaunda,2017,-0.25
Drought,CHIRPS,Gert Sibande,2017,-0.26
Drought,CHIRPS,Ngaka Modiri Molema,2017,-0.25
Drought,CHIRPS,Sedibeng,2017,-0.25
Drought,CHIRPS,West Rand,2017,-0.26
Drought,CHIRPS,Ekurhuleni,2017,-0.25
Drought,CHIRPS,City of Johannesburg,2017,-0.25
Drought,CHIRPS,Nkangala,2017,-0.26
Drought,CHIRPS,Bojanala,2017,-0.25
Drought,CHIRPS,City of Tshwane,2017,-0.25
Drought,CHIRPS,Ehlanzeni,2017,-0.25
Drought,CHIRPS,Sekhukhune,2017,-0.24
Drought,CHIRPS,Waterberg,2017,-0.24
Drought,CHIRPS,Capricorn,2017,-0.24
Drought,CHIRPS,Mopani,2017,-0.24
Drought,CHIRPS,Vhembe,2017,-0.24
Drought,CHIRPS,Overberg,2018,0.93
Drought,CHIRPS,Garden Route,2018,0.44
Drought,CHIRPS,City of Cape Town,2018,2.11
Drought,CHIRPS,Cacadu,2018,-0.01
Drought,CHIRPS,Cape Winelands,2018,1.71
Drought,CHIRPS,Nelson Mandela Bay,2018,-0.13
Drought,CHIRPS,West Coast,2018,1.76
Drought,CHIRPS,Central Karoo,2018,0.31
Drought,CHIRPS,Amathole,2018,-0.27
Drought,CHIRPS,Buffalo City,2018,-0.27
Drought,CHIRPS,Namakwa,2018,0.99
Drought,CHIRPS,Chris Hani,2018,-0.24
Drought,CHIRPS,OR Tambo,2018,-0.26
Drought,CHIRPS,Pixley ka Seme,2018,-0.05
Drought,CHIRPS,Joe Gqabi,2018,-0.24
Drought,CHIRPS,Alfred Nzo,2018,-0.26
Drought,CHIRPS,Ugu,2018,-0.26
Drought,CHIRPS,Xhariep,2018,-0.06
Drought,CHIRPS,Harry Gwala,2018,-0.26
Drought,CHIRPS,eThekwini,2018,-0.25
Drought,CHIRPS,uMgungundlovu,2018,-0.21
Drought,CHIRPS,ZF Mgcawu,2018,-0.19
Drought,CHIRPS,iLembe,2018,-0.26
Drought,CHIRPS,Mangaung,2018,0.19
Drought,CHIRPS,Thabo Mofutsanyane,2018,-0.14
Drought,CHIRPS,uThukela,2018,-0.21
Drought,CHIRPS,uMzinyathi,2018,-0.25
Drought,CHIRPS,King Cetshwayo,2018,-0.25
Drought,CHIRPS,Lejweleputswa,2018,-0.09
Drought,CHIRPS,Frances Baard,2018,-0.21
Drought,CHIRPS,Zululand,2018,-0.26
Drought,CHIRPS,uMkhanyakude,2018,-0.25
Drought,CHIRPS,Fezile Dabi,2018,-0.25
Drought,CHIRPS,Amajuba,2018,-0.25
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2018,-0.23
Drought,CHIRPS,John Taolo Gaetsewe,2018,-0.23
Drought,CHIRPS,Dr Kenneth Kaunda,2018,-0.24
Drought,CHIRPS,Gert Sibande,2018,-0.26
Drought,CHIRPS,Ngaka Modiri Molema,2018,-0.18
Drought,CHIRPS,Sedibeng,2018,-0.25
Drought,CHIRPS,West Rand,2018,-0.26
Drought,CHIRPS,Ekurhuleni,2018,-0.25
Drought,CHIRPS,City of Johannesburg,2018,-0.25
Drought,CHIRPS,Nkangala,2018,-0.23
Drought,CHIRPS,Bojanala,2018,-0.2
Drought,CHIRPS,City of Tshwane,2018,-0.25
Drought,CHIRPS,Ehlanzeni,2018,-0.24
Drought,CHIRPS,Sekhukhune,2018,-0.21
Drought,CHIRPS,Waterberg,2018,-0.06
Drought,CHIRPS,Capricorn,2018,-0.23
Drought,CHIRPS,Mopani,2018,-0.24
Drought,CHIRPS,Vhembe,2018,-0.24
Drought,CHIRPS,Overberg,2019,-0.11
Drought,CHIRPS,Garden Route,2019,-0.13
Drought,CHIRPS,City of Cape Town,2019,-0.07
Drought,CHIRPS,Cacadu,2019,0.79
Drought,CHIRPS,Cape Winelands,2019,-0.01
Drought,CHIRPS,Nelson Mandela Bay,2019,0.99
Drought,CHIRPS,West Coast,2019,0.35
Drought,CHIRPS,Central Karoo,2019,0.55
Drought,CHIRPS,Amathole,2019,1.37
Drought,CHIRPS,Buffalo City,2019,1.64
Drought,CHIRPS,Namakwa,2019,0.96
Drought,CHIRPS,Chris Hani,2019,0.09
Drought,CHIRPS,OR Tambo,2019,-0.26
Drought,CHIRPS,Pixley ka Seme,2019,0.84
Drought,CHIRPS,Joe Gqabi,2019,-0.24
Drought,CHIRPS,Alfred Nzo,2019,-0.26
Drought,CHIRPS,Ugu,2019,-0.26
Drought,CHIRPS,Xhariep,2019,-0.24
Drought,CHIRPS,Harry Gwala,2019,-0.26
Drought,CHIRPS,eThekwini,2019,-0.25
Drought,CHIRPS,uMgungundlovu,2019,-0.26
Drought,CHIRPS,ZF Mgcawu,2019,1.49
Drought,CHIRPS,iLembe,2019,-0.26
Drought,CHIRPS,Mangaung,2019,-0.25
Drought,CHIRPS,Thabo Mofutsanyane,2019,-0.26
Drought,CHIRPS,uThukela,2019,-0.26
Drought,CHIRPS,uMzinyathi,2019,-0.26
Drought,CHIRPS,King Cetshwayo,2019,-0.25
Drought,CHIRPS,Lejweleputswa,2019,-0.25
Drought,CHIRPS,Frances Baard,2019,-0.22
Drought,CHIRPS,Zululand,2019,-0.26
Drought,CHIRPS,uMkhanyakude,2019,-0.25
Drought,CHIRPS,Fezile Dabi,2019,-0.26
Drought,CHIRPS,Amajuba,2019,-0.25
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2019,0.05
Drought,CHIRPS,John Taolo Gaetsewe,2019,-0.13
Drought,CHIRPS,Dr Kenneth Kaunda,2019,-0.25
